GeneName	Description	Process
NUCB2	nucleobindin 2	Unknown MT process
TCIRG1	T cell, immune regulator 1, ATPase, H+ transporting, lysosomal V0 protein A3	Unknown MT process
RCN2	reticulocalbin 2	Unknown MT process
1110008L16RIK	RIKEN cDNA 1110008L16 gene	Unknown MT process
LAMC1	laminin, gamma 1	Unknown MT process
STX17	syntaxin 17	Unknown MT process
CDC25C	cell division cycle 25C	Unknown MT process
PICK1	protein interacting with C kinase 1	Unknown MT process
PAK7	p21 protein (Cdc42/Rac)-activated kinase 7	Unknown MT process
DMPK	dystrophia myotonica-protein kinase	Unknown MT process
PRSS35	protease, serine 35	Unknown MT process
PABPC5	poly(A) binding protein, cytoplasmic 5	Unknown MT process
GIMAP3	GTPase, IMAP family member 3	Unknown MT process
ATP10D	ATPase, class V, type 10D	Unknown MT process
SPATA20	spermatogenesis associated 20	Unknown MT process
PLGRKT	plasminogen receptor, C-terminal lysine transmembrane protein	Unknown MT process
SECISBP2	SECIS binding protein 2	Unknown MT process
RAB11FIP5	RAB11 family interacting protein 5 (class I)	Unknown MT process
NCOA4	nuclear receptor coactivator 4	Unknown MT process
1700066M21RIK	RIKEN cDNA 1700066M21 gene	Unknown MT process
8430408G22RIK	RIKEN cDNA 8430408G22 gene	Unknown MT process
CSTAD	CSA-conditional, T cell activation-dependent protein	Unknown MT process
SNAP29	synaptosomal-associated protein 29	Unknown MT process
CECR5	cat eye syndrome chromosome region, candidate 5	Unknown MT process
MOCS1	molybdenum cofactor synthesis 1	Unknown MT process
MACROD1	MACRO domain containing 1	Nucleotide Metabolism
DTYMK	catalytic activity:ATP + dTMP = ADP + dTDPfunction:Catalyzes the conversion of dTMP to dTDPpathway:Pyrimidine metabolism; dTTP biosynthesissimilarity:Belongs to the thymidylate kinase family	Nucleotide Metabolism
Mar-01	Probable oxidoreductase (By similarity)	Nucleotide Metabolism
NME1	This gene (NME1) was identified because of its reduced mRNA transcript levels in highly metastatic cells. Nucleoside diphosphate kinase (NDK) exists as a hexamer composed of 'A' (encoded by this gene) and 'B' (encoded by NME2) isoforms. Mutations in this gene have been identified in aggressive neuroblastomas. Two transcript variants encoding different isoforms have been found for this gene. 	Nucleotide Metabolism
TYMS	catalytic activity:5,10-methylenetetrahydrofolate + dUMP = dihydrofolate + dTMPpathway:Pyrimidine metabolism; dTTP biosynthesissimilarity:Belongs to the thymidylate synthase familysubunit:Homodimer	Nucleotide Metabolism
AK3	catalytic activity:NTP + AMP = NDP + ADPsimilarity:Belongs to the adenylate kinase familysubunit:Monomer	Nucleotide Metabolism
AK4	Catalyzes the reversible transfer of the terminal phosphate group between ATP and AMP. May also be active with GTP (By similarity)	Nucleotide Metabolism
Mar-02	Catalytic component of the benzamidoxime prodrug- converting complex, a complex required to reduce N-hydroxylated structures, such as benzamidoxime (By similarity)	Nucleotide Metabolism
AK2	Catalyzes the reversible transfer of the terminal phosphate group between ATP and AMP. This small ubiquitous enzyme involved in energy metabolism and nucleotide synthesis that is essential for maintenance and cell growth. Plays a key role in hematopoiesis (By similarity)	Nucleotide Metabolism
DUT	similarity: This enzyme is involved in nucleotide metabolism: it produces dUMP, the immediate precursor of thymidine nucleotides and it decreases the intracellular concentration of dUTP so that uracil cannot be incorporated into DNA	Nucleotide Metabolism
NUDT13	similarity:Belongs to the Nudix hydrolase familysimilarity:Contains 1 nudix hydrolase domain	Nucleotide Metabolism
NME4	Major role in the synthesis of nucleoside triphosphates other than ATP. The ATP gamma phosphate is transferred to the NDP beta phosphate via a ping-pong mechanism, using a phosphorylated active-site intermediate	Nucleotide Metabolism
NUDT9	Hydrolyzes ADP-ribose (ADPR) to AMP and ribose 5'- phosphate	Nucleotide Metabolism
NME6	Major role in the synthesis of nucleoside triphosphates other than ATP. The ATP gamma phosphate is transferred to the NDP beta phosphate via a ping-pong mechanism, using a phosphorylated active-site intermediate	Nucleotide Metabolism
DHODH	catalytic activity:(S)-dihydroorotate + O(2) = orotate + H(2)O(2)cofactor:Binds 1 FAD per subunitpathway:Pyrimidine metabolism; UMP biosynthesis via de novo pathway; UMP from HCO(3)(-): step 4/6similarity:Belongs to the dihydroorotate dehydrogenase family	Nucleotide Metabolism
ATIC	catalytic activity:10-formyltetrahydrofolate + 5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide = tetrahydrofolate + 5-formamido-1-(5-phospho-D-ribosyl)imidazole-4-carboxamidecatalytic activity:IMP + H(2)O = 5-formamido-1-(5-phospho-D-ribosyl)imidazole-4-carboxamidedomain:The IMP cyclohydrolase activity resides in the N-terminal regionpathway:Purine metabolism; IMP biosynthesis via de novo pathway; 5-formamido-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide from 5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide (10-formyl THF route): step 1/1pathway:Purine metabolism; IMP biosynthesis via de novo pathway; IMP from 5-formamido-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide: step 1/1similarity:Belongs to the purH family	Nucleotide Metabolism
ATP5MD	similarity: part of the mitochondrial proton-transporting ATP synthase complex	Oxidative Phosphorylation
ATP5MPL	similarity: part of the mitochondrial proton-transporting ATP synthase complex	Oxidative Phosphorylation
ATP6V1E1	Subunit of the peripheral V1 complex of vacuolar ATPase essential for assembly or catalytic function. V-ATPase is responsible for acidifying a variety of intracellular compartments in eukaryotic cells	Oxidative Phosphorylation
COQ8A	May be a chaperone-like protein essential for the proper conformation and functioning of protein complexes in the respiratory chain	Oxidative Phosphorylation
COQ8B	The function of this protein is not yet clear. It is not known if it has protein kinase activity and what type of substrate it would phosphorylate (Ser, Thr or Tyr)	Oxidative Phosphorylation
COX7B2	similarity: This protein is one of the nuclear-coded polypeptide chains of cytochrome c oxidase, the terminal oxidase in mitochondrial electron transport	Oxidative Phosphorylation
DMAC1	similarity: mitochondrial respiratory chain complex I assembly	Oxidative Phosphorylation
DMAC2	similarity: contributes_to ubiquitin-protein transferase activity, mitochondrial respiratory chain complex I assembly	Oxidative Phosphorylation
DMAC2L	similarity: contributes_to ubiquitin-protein transferase activity, mitochondrial respiratory chain complex I assembly	Oxidative Phosphorylation
DONSON	function:Essential for DNA amplification in the ovary and required for cell proliferation during developmentsimilarity:Belongs to the DONSON family	Oxidative Phosphorylation
ETFRF1	similarity: similarity:Belongs to the complex I LYR family	Oxidative Phosphorylation
FMC1	similarity:Belongs to the UPF0562 family	Oxidative Phosphorylation
GPD1	catalytic activity:sn-glycerol 3-phosphate + NAD(+) = glycerone phosphate + NADHsimilarity:Belongs to the NAD-dependent glycerol-3-phosphate dehydrogenase familysubunit:Homodimer	Oxidative Phosphorylation
NDUFAF8	Accessory subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I), that is believed to be not involved in catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone (By similarity)	Oxidative Phosphorylation
NDUFB1-PS	mitochondrial respiratory chain complex I assembly	Oxidative Phosphorylation
NIPSNAP2	similarity: This gene encodes a member of the NipSnap family of proteins that may be involved in vesicular transport. The encoded protein is localized to mitochondria and plays a role in oxidative phosphorylation. A pseudogene of this gene is located on the long arm of chromosome 2. Alternatively spliced transcript variants encoding multiple isoforms have been observed for this gene. [provided by RefSeq, Feb 2011]	Oxidative Phosphorylation
SDHAF3	similarity:Belongs to the ACN9 family	Oxidative Phosphorylation
SDHAF4	similarity:Belongs to the UPF0369 family	Oxidative Phosphorylation
TMEM126B	similarity:Belongs to the TMEM126 family	Oxidative Phosphorylation
UQCC3	similarity:Belongs to the UPF0723 family	Oxidative Phosphorylation
CYC1	This is the heme-containing component of the cytochrome b-c1 complex, which accepts electrons from Rieske protein and transfers electrons to cytochrome c in the mitochondrial respiratory chain (By similarity)	Oxidative Phosphorylation
ATP5D	Mitochondrial membrane ATP synthase (F(1)F(0) ATP synthase or Complex V) produces ATP from ADP in the presence of a proton gradient across the membrane which is generated by electron transport complexes of the respiratory chain. F-type ATPases consist of two structural domains, F(1) - containing the extramembraneous catalytic core, and F(0) - containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP turnover in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation. Part of the complex F(1) domain and of the central stalk which is part of the complex rotary element. Rotation of the central stalk against the surrounding alpha(3)beta(3) subunits leads to hydrolysis of ATP in three separate catalytic sites on the beta subunits	Oxidative Phosphorylation
UQCRC1	This is a component of the ubiquinol-cytochrome c reductase complex (complex III or cytochrome b-c1 complex), which is part of the mitochondrial respiratory chain. This protein may mediate formation of the complex between cytochromes c and c1 (By similarity)	Oxidative Phosphorylation
COX5A	This is the heme A-containing chain of cytochrome c oxidase, the terminal oxidase in mitochondrial electron transport	Oxidative Phosphorylation
UQCRFS1	Component of the ubiquinol-cytochrome c reductase complex (complex III or cytochrome b-c1 complex), which is a respiratory chain that generates an electrochemical potential coupled to ATP synthesisThe transit peptide of the Rieske protein seems to form part of the bc1 complex and is considered to be the subunit 11/IX of that complex (By similarity)	Oxidative Phosphorylation
SDHA	Flavoprotein (FP) subunit of succinate dehydrogenase (SDH) that is involved in complex II of the mitochondrial electron transport chain and is responsible for transferring electrons from succinate to ubiquinone (coenzyme Q) (By similarity)	Oxidative Phosphorylation
SDHB	Iron-sulfur protein (IP) subunit of succinate dehydrogenase (SDH) that is involved in complex II of the mitochondrial electron transport chain and is responsible for transferring electrons from succinate to ubiquinone (coenzyme Q) (By similarity)	Oxidative Phosphorylation
ATP5A1	Mitochondrial membrane ATP synthase (F(1)F(0) ATP synthase or Complex V) produces ATP from ADP in the presence of a proton gradient across the membrane which is generated by electron transport complexes of the respiratory chain. F-type ATPases consist of two structural domains, F(1) - containing the extramembraneous catalytic core, and F(0) - containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation. Subunits alpha and beta form the catalytic core in F(1). Rotation of the central stalk against the surrounding alpha(3)beta(3) subunits leads to hydrolysis of ATP in three separate catalytic sites on the beta subunits. Subunit alpha does not bear the catalytic high-affinity ATP-binding sites (By similarity)	Oxidative Phosphorylation
SDHD	Membrane-anchoring subunit of succinate dehydrogenase (SDH) that is involved in complex II of the mitochondrial electron transport chain and is responsible for transferring electrons from succinate to ubiquinone (coenzyme Q) (By similarity)	Oxidative Phosphorylation
UQCRC2	This is a component of the ubiquinol-cytochrome c reductase complex (complex III or cytochrome b-c1 complex), which is part of the mitochondrial respiratory chain. The core protein 2 is required for the assembly of the complex (By similarity)	Oxidative Phosphorylation
